module_name	role	fake_quant	observer	dtype	qscheme	quant_min	quant_max	bits	channel_axis	scale_shape	scale_min	scale_max	scale_sample	zero_point_shape	zero_point_min	zero_point_max	zero_point_sample
encoder.en_convs.4.point_conv2.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.18413786590099335	0.18413786590099335	[0.184138]	1	61	61	[61]
encoder.en_convs.4.point_quant3.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.17957647144794464	0.17957647144794464	[0.179576]	1	22	22	[22]
decoder.de_convs.0.point_conv1.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.24530141055583954	0.24530141055583954	[0.245301]	1	66	66	[66]
decoder.de_convs.0.point_quant1.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.21617566049098969	0.21617566049098969	[0.216176]	1	66	66	[66]
decoder.de_convs.0.depth_conv.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.14704306423664093	0.14704306423664093	[0.147043]	1	45	45	[45]
decoder.de_convs.0.point_quant2.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.0718303695321083	0.0718303695321083	[0.0718304]	1	3	3	[3]
decoder.de_convs.0.point_conv2.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.11970942467451096	0.11970942467451096	[0.119709]	1	54	54	[54]
decoder.de_convs.0.point_quant3.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.11214626580476761	0.11214626580476761	[0.112146]	1	47	47	[47]
decoder.de_convs.1.point_conv1.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.34223172068595886	0.34223172068595886	[0.342232]	1	71	71	[71]
decoder.de_convs.1.point_quant1.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.2846525013446808	0.2846525013446808	[0.284653]	1	48	48	[48]
decoder.de_convs.1.depth_conv.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.21162457764148712	0.21162457764148712	[0.211625]	1	80	80	[80]
decoder.de_convs.1.point_quant2.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.08653675764799118	0.08653675764799118	[0.0865368]	1	39	39	[39]
decoder.de_convs.1.point_conv2.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.08469770848751068	0.08469770848751068	[0.0846977]	1	55	55	[55]
decoder.de_convs.1.point_quant3.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.06866800785064697	0.06866800785064697	[0.068668]	1	8	8	[8]
decoder.de_convs.2.point_conv1.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.41022971272468567	0.41022971272468567	[0.41023]	1	74	74	[74]
decoder.de_convs.2.point_quant1.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.2742522656917572	0.2742522656917572	[0.274252]	1	44	44	[44]
decoder.de_convs.2.depth_conv.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.5306834578514099	0.5306834578514099	[0.530683]	1	82	82	[82]
decoder.de_convs.2.point_quant2.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.12880045175552368	0.12880045175552368	[0.1288]	1	44	44	[44]
decoder.de_convs.2.point_conv2.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.1209789365530014	0.1209789365530014	[0.120979]	1	68	68	[68]
decoder.de_convs.2.point_quant3.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.10992609709501266	0.10992609709501266	[0.109926]	1	26	26	[26]
decoder.de_convs.3.conv.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.35750624537467957	0.35750624537467957	[0.357506]	1	71	71	[71]
decoder.de_convs.3.quant.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.32004863023757935	0.32004863023757935	[0.320049]	1	48	48	[48]
decoder.de_convs.4.conv.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	1.1397202014923096	1.1397202014923096	[1.13972]	1	26	26	[26]
decoder.de_convs.4.quant.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.2851178050041199	0.2851178050041199	[0.285118]	1	30	30	[30]
