module_name	role	fake_quant	observer	dtype	qscheme	quant_min	quant_max	bits	channel_axis	scale_shape	scale_min	scale_max	scale_sample	zero_point_shape	zero_point_min	zero_point_max	zero_point_sample
decoder.de_convs.1.point_quant3.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.06420766562223434	0.06420766562223434	[0.0642077]	1	9	9	[9]
decoder.de_convs.2.point_conv1.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	1.0583776235580444	1.0583776235580444	[1.05838]	1	79	79	[79]
decoder.de_convs.2.point_quant1.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.3015802800655365	0.3015802800655365	[0.30158]	1	52	52	[52]
decoder.de_convs.2.depth_conv.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	1.696459174156189	1.696459174156189	[1.69646]	1	82	82	[82]
decoder.de_convs.2.point_quant2.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.11158840358257294	0.11158840358257294	[0.111588]	1	51	51	[51]
decoder.de_convs.2.point_conv2.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.2252441644668579	0.2252441644668579	[0.225244]	1	74	74	[74]
decoder.de_convs.2.point_quant3.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.08777590095996857	0.08777590095996857	[0.0877759]	1	28	28	[28]
decoder.de_convs.3.conv.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.9536960124969482	0.9536960124969482	[0.953696]	1	70	70	[70]
decoder.de_convs.3.quant.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.3662349581718445	0.3662349581718445	[0.366235]	1	45	45	[45]
decoder.de_convs.4.conv.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	4.106708526611328	4.106708526611328	[4.10671]	1	23	23	[23]
decoder.de_convs.4.quant.activation_post_process	activation	FusedMovingAvgObsFakeQuantize	MovingAverageMinMaxObserver	torch.quint8	torch.per_tensor_affine	0	127	7	None	1	0.26757535338401794	0.26757535338401794	[0.267575]	1	33	33	[33]
